latitude,longitude,kd_ratio,5G_ratio,city_code,city_name,county_code,county_name,grid_code,grid_name
27.539721,104.480951,0.3016,0.6984,0870,昭通,C0LJ,镇雄县,530627209000,花山乡
24.762257,102.709966,0.3443,0.6557,0871,昆明,A0AD,晋宁,530122108000,新街乡
24.940398,102.350145,0.5,0.5,0871,昆明,A0AG,安宁,530181007000,草铺网格
24.712872,102.370174,0.375,0.625,0871,昆明,A0AG,安宁,530181003000,八街网格
25.02521,102.873308,0.5484,0.4516,0871,昆明,A0AM,官渡,AM38,大板桥网格
25.109509,102.658019,0.5094,0.4906,0871,昆明,A0AM,官渡,AM41,永胜网格
24.921868,102.595902,0.5541,0.4459,0871,昆明,A0AG,安宁,530181008000,太平网格
25.48978,103.273068,0.4091,0.5909,0871,昆明,A0AK,寻甸,530129207000,塘子镇
25.143937,102.967128,0.4487,0.5513,0871,昆明,A0AM,官渡,AM36,空港网格1
24.806321,102.976296,0.5147,0.4853,0877,玉溪,F0IF,澄江县,530422102000,阳宗镇
24.776794,102.790208,0.5,0.5,0871,昆明,A0AE,呈贡,AE17,高新网格
25.197612,103.033307,0.35,0.65,0871,昆明,A0AH,嵩明,AH09,杨林镇东北网格
24.860916,102.637577,0.4324,0.5676,0871,昆明,A0AN,西山,AN12,采莲网格
24.94113,102.914471,0.4808,0.5192,0871,昆明,A0AE,呈贡,AE03,白龙潭网格
24.670426,102.672456,0.6444,0.3556,0877,玉溪,F0IC,易门县,530425202000,十街彝族乡
24.890487,103.304766,0.5503,0.4497,0871,昆明,A0AC,石林,530126003000,石林镇
24.954331,102.283907,0.4902,0.5098,0871,昆明,A0AG,安宁,530181006000,禄脿网格
25.288653,103.033388,0.431,0.569,0871,昆明,A0AH,嵩明,530127107000,杨桥乡镇
25.306652,103.079325,0.5653,0.4347,0871,昆明,A0AH,嵩明,530127102000,小街镇
24.785088,102.840587,0.4034,0.5966,0871,昆明,A0AE,呈贡,AE17,高新网格
25.17096,102.92305,0.5017,0.4983,0871,昆明,A0AM,官渡,AM36,空港网格1
25.324295,103.008673,0.5553,0.4447,0871,昆明,A0AH,嵩明,530127107000,杨桥乡镇
25.534559,103.331418,0.4819,0.5181,0871,昆明,A0AK,寻甸,530129108000,七星镇
24.9732,102.865117,0.4615,0.5385,0871,昆明,A0AE,呈贡,AE21,大冲网格
25.49518,103.168827,0.7105,0.2895,0871,昆明,A0AK,寻甸,530129103000,羊街镇
25.615882,103.228619,0.4348,0.5652,0871,昆明,A0AK,寻甸,530129206000,金所乡
24.989087,103.06138,0.494,0.506,0871,昆明,A0AF,宜良,530125002000,汤池网格
24.881836,102.577743,0.5633,0.4367,0871,昆明,A0AG,安宁,530181008000,太平网格
24.582239,102.763346,0.1538,0.8462,0871,昆明,A0AD,晋宁,530122102000,晋城镇
24.620186,102.585388,0.587,0.413,0871,昆明,A0AD,晋宁,530122107000,宝峰镇
24.619041,102.687611,0.5,0.5,0871,昆明,A0AD,晋宁,530122102000,晋城镇
25.275968,102.940319,0.4825,0.5175,0871,昆明,A0AH,嵩明,530127106000,滇源镇
24.901112,103.241192,0.5707,0.4293,0871,昆明,A0AF,宜良,AF05,蓬莱网格
24.491339,102.564842,0.5926,0.4074,0877,玉溪,F0IA,红塔区,530402004000,北城街道
25.49301,103.312532,0.4,0.6,0871,昆明,A0AK,寻甸,530129108000,七星镇
25.119318,102.879623,0.6122,0.3878,0871,昆明,A0AX,盘龙,AX23,双龙网格
25.906191,103.267884,0.6,0.4,0871,昆明,A0AB,东川,530113104000,阿旺镇
25.202134,102.970788,0.4,0.6,0871,昆明,A0AM,官渡,AM36,空港网格1
24.838314,103.160581,0.551,0.449,0871,昆明,A0AF,宜良,530125103000,狗街镇
25.095668,102.975076,0.551,0.449,0871,昆明,A0AM,官渡,AM36,空港网格1
24.829527,102.369817,0.523,0.477,0871,昆明,A0AG,安宁,530181009000,县街网格
25.460757,103.155643,0.5833,0.4167,0871,昆明,A0AK,寻甸,530129103000,羊街镇
25.103742,102.644719,0.4054,0.5946,0871,昆明,A0AW,五华,AW15,普吉网格
25.102883,102.8049,0.4384,0.5616,0871,昆明,A0AM,官渡,AM41,永胜网格
24.951954,102.547957,0.4103,0.5897,0871,昆明,A0AG,安宁,530181008000,太平网格
24.995082,102.390656,0.6569,0.3431,0871,昆明,A0AM,官渡,AM41,永胜网格
25.052793,103.044718,0.5886,0.4114,0871,昆明,A0AF,宜良,530125002000,汤池网格
25.134305,102.684904,0.4663,0.5337,0871,昆明,A0AW,五华,AW30,西翥网格
24.746903,102.411162,0.6364,0.3636,0871,昆明,A0AG,安宁,530181003000,八街网格
25.512336,103.177749,0.4639,0.5361,0871,昆明,A0AK,寻甸,530129103000,羊街镇
25.43932,103.307093,0.4262,0.5738,0871,昆明,A0AK,寻甸,530129207000,塘子镇
24.993196,102.884801,0.4127,0.5873,0871,昆明,A0AE,呈贡,AE21,大冲网格
24.773691,102.760586,0.5814,0.4186,0871,昆明,A0AD,晋宁,530122102000,晋城镇
25.169248,103.119656,0.3699,0.6301,0871,昆明,A0AH,嵩明,AH09,杨林镇东北网格
25.048139,103.240603,0.5556,0.4444,0871,昆明,A0AF,宜良,530125201000,耿家营乡
25.277211,102.971164,0.3462,0.6538,0871,昆明,A0AH,嵩明,530127107000,杨桥乡镇
25.01249,103.193568,0.5704,0.4296,0871,昆明,A0AF,宜良,530125102000,北古城镇
24.565032,102.523015,0.5041,0.4959,0871,昆明,A0AD,晋宁,530122107000,宝峰镇
24.97241,102.235623,0.4138,0.5862,0878,楚雄,E0JJ,禄丰县,532331108000,土官镇
24.927412,102.528785,0.4767,0.5233,0871,昆明,A0AG,安宁,AG02,小百文网格
24.719533,102.770271,0.3333,0.6667,0871,昆明,A0AD,晋宁,530122102000,晋城镇
24.758678,102.869608,0.4671,0.5329,0871,昆明,A0AE,呈贡,AE18,马金铺网格
24.961563,103.00049,0.5276,0.4724,0871,昆明,A0AF,宜良,530125002000,汤池网格
24.836637,103.111497,0.5719,0.4281,0871,昆明,A0AF,宜良,530125107000,南羊镇
24.632244,102.636729,0.6117,0.3883,0871,昆明,A0AD,晋宁,AD01,北门网格
24.947776,102.447383,0.4615,0.5385,0871,昆明,A0AG,安宁,530181004000,温泉网格
25.460825,103.350911,0.4476,0.5524,0871,昆明,A0AK,寻甸,530129207000,塘子镇
25.236594,102.953518,0.5216,0.4784,0871,昆明,A0AH,嵩明,AH12,杨林镇职教园网格
25.126991,102.97192,0.8125,0.1875,0871,昆明,A0AM,官渡,AM36,空港网格1
25.04377,102.905682,0.6359,0.3641,0871,昆明,A0AM,官渡,AM38,大板桥网格
24.934171,103.223305,0.5714,0.4286,0871,昆明,A0AF,宜良,530125102000,北古城镇
25.583278,103.204998,0.5158,0.4842,0871,昆明,A0AK,寻甸,530129206000,金所乡
24.678612,102.312628,0.4154,0.5846,0871,昆明,A0AG,安宁,530181003000,八街网格
25.062508,102.493069,0.6537,0.3463,0871,昆明,A0AM,官渡,AM31,牛街庄网格
25.86321,103.266208,0.4292,0.5708,0874,曲靖,D0FA,麒麟区,D0FA#,麒麟区网格不详
24.632411,102.358165,0.6786,0.3214,0871,昆明,A0AG,安宁,530181003000,八街网格
25.091144,102.910344,0.4286,0.5714,0871,昆明,A0AM,官渡,AM37,空港网格2
25.278421,103.023421,0.524,0.476,0871,昆明,A0AH,嵩明,530127107000,杨桥乡镇
24.767979,102.537382,0.551,0.449,0871,昆明,A0AN,西山,AN35,磷肥厂网格
24.786848,102.567685,0.5465,0.4535,0871,昆明,A0AN,西山,AN12,采莲网格
24.993452,102.426404,0.3947,0.6053,0871,昆明,A0AM,官渡,A0AM#,官渡网格不详
25.143558,102.59437,0.5827,0.4173,0871,昆明,A0AI,富民,AI03,富民大营网格
25.013035,103.218667,0.502,0.498,0871,昆明,A0AF,宜良,530125201000,耿家营乡
24.926935,102.551507,0.6024,0.3976,0871,昆明,A0AG,安宁,530181008000,太平网格
25.081184,102.887162,0.599,0.401,0871,昆明,A0AM,官渡,AM38,大板桥网格
24.969402,102.325726,0.6549,0.3451,0871,昆明,A0AG,安宁,530181006000,禄脿网格
24.660278,102.764617,0.462,0.538,0871,昆明,A0AD,晋宁,530122102000,晋城镇
25.773416,103.274298,0.375,0.625,0871,昆明,A0AK,寻甸,530129106000,功山镇
25.335444,102.643953,0.489,0.511,0871,昆明,A0AI,富民,530124107000,散旦镇
24.825101,102.850159,0.2647,0.7353,0871,昆明,A0AE,呈贡,AE22,呈贡校园网格
24.960905,103.05895,0.6,0.4,0871,昆明,A0AF,宜良,530125002000,汤池网格
25.280397,103.045359,0.4571,0.5429,0871,昆明,A0AH,嵩明,AH09,杨林镇东北网格
24.820609,102.633439,0.5484,0.4516,0871,昆明,A0AN,西山,AN34,西仪网格
25.133529,103.03179,0.5122,0.4878,0871,昆明,A0AH,嵩明,AH12,杨林镇职教园网格
25.231575,103.029796,0.595,0.405,0871,昆明,A0AH,嵩明,AH08,杨林龙保网格
25.032686,103.179665,0.4,0.6,0871,昆明,A0AF,宜良,530125102000,北古城镇
24.985607,103.151213,0.6,0.4,0871,昆明,A0AF,宜良,AF04,金星网格
25.127369,102.944817,0.686,0.314,0871,昆明,A0AM,官渡,AM36,空港网格1
25.048629,102.633562,0.5138,0.4862,0871,昆明,A0AM,官渡,AM41,永胜网格
25.336104,103.241203,0.3953,0.6047,0871,昆明,A0AH,嵩明,530127104000,牛栏江镇
24.591591,102.597466,0.425,0.575,0871,昆明,A0AD,晋宁,530122107000,宝峰镇
25.194071,103.154385,0.5144,0.4856,0871,昆明,A0AH,嵩明,530127104000,牛栏江镇
25.047909,102.83662,0.3806,0.6194,0871,昆明,A0AM,官渡,AM32,广卫网格
24.710951,102.55662,0.6682,0.3318,0871,昆明,A0AD,晋宁,530122103000,二街镇
25.058058,102.609935,0.5823,0.4177,0871,昆明,A0AM,官渡,AM41,永胜网格
25.677403,103.264135,0.4371,0.5629,0871,昆明,A0AK,寻甸,530129206000,金所乡
25.238818,103.051217,0.567,0.433,0871,昆明,A0AH,嵩明,AH09,杨林镇东北网格
25.17424,103.025867,0.54,0.46,0871,昆明,A0AH,嵩明,AH09,杨林镇东北网格
25.160447,102.625115,0.4286,0.5714,0871,昆明,A0AW,五华,AW30,西翥网格
25.354925,103.062117,0.42,0.58,0871,昆明,A0AH,嵩明,530127107000,杨桥乡镇
