latitude,longitude,kd_ratio,5G_ratio,city_code,city_name,county_code,county_name,grid_code,grid_name
27.539721,104.480951,0.3016,0.6984,0870,昭通,C0LJ,镇雄县,530627209000,花山乡
24.630712,102.683126,0.5814,0.4186,0871,昆明,A0AD,晋宁,530122102000,晋城镇
25.127941,102.973153,0.5973,0.4027,0871,昆明,A0AM,官渡,AM36,空港网格1
25.353452,103.060925,0.5882,0.4118,0871,昆明,A0AH,嵩明,530127107000,杨桥乡镇
24.871612,102.513318,0.5459,0.4541,0871,昆明,A0AG,安宁,AG09,昆钢3网格
24.905374,102.65014,0.5764,0.4236,0871,昆明,A0AN,西山,AN10,广福网格
24.992504,102.882566,0.5085,0.4915,0871,昆明,A0AE,呈贡,AE21,大冲网格
25.292332,102.948805,0.6667,0.3333,0871,昆明,A0AH,嵩明,530127106000,滇源镇
24.820167,102.63279,0.6932,0.3068,0871,昆明,A0AN,西山,AN34,西仪网格
24.710951,102.55662,0.4925,0.5075,0871,昆明,A0AD,晋宁,530122103000,二街镇
25.099242,102.895077,0.5038,0.4962,0871,昆明,A0AM,官渡,AM37,空港网格2
24.704015,102.529876,0.6571,0.3429,0871,昆明,A0AD,晋宁,530122103000,二街镇
25.320704,102.995558,0.6048,0.3952,0871,昆明,A0AH,嵩明,530127107000,杨桥乡镇
24.760524,102.8728,0.6667,0.3333,0871,昆明,A0AE,呈贡,AE18,马金铺网格
24.881302,102.578549,0.5,0.5,0871,昆明,A0AG,安宁,530181008000,太平网格
25.230792,103.12697,0.5593,0.4407,0871,昆明,A0AH,嵩明,AH09,杨林镇东北网格
24.87245,102.422346,0.6437,0.3563,0871,昆明,A0AG,安宁,530181009000,县街网格
25.103742,102.644719,0.66,0.34,0871,昆明,A0AW,五华,AW15,普吉网格
25.095668,102.975076,0.4792,0.5208,0871,昆明,A0AM,官渡,AM36,空港网格1
25.126255,102.875622,0.5968,0.4032,0871,昆明,A0AX,盘龙,AX23,双龙网格
25.194152,102.696701,0.5802,0.4198,0871,昆明,A0AM,官渡,AM41,永胜网格
24.993452,102.426404,0.475,0.525,0871,昆明,A0AM,官渡,A0AM#,官渡网格不详
24.670833,102.681702,0.4826,0.5174,0871,昆明,A0AD,晋宁,530122105000,上蒜镇
24.856763,102.613781,0.6642,0.3358,0871,昆明,A0AN,西山,AN12,采莲网格
25.183839,103.01436,0.6128,0.3872,0871,昆明,A0AH,嵩明,AH09,杨林镇东北网格
24.774157,102.762607,0.552,0.448,0871,昆明,A0AD,晋宁,530122102000,晋城镇
25.09994,102.926529,0.4731,0.5269,0871,昆明,A0AM,官渡,AM37,空港网格2
25.164581,102.885455,0.4675,0.5325,0871,昆明,A0AH,嵩明,530127106000,滇源镇
25.162754,103.059996,0.3333,0.6667,0871,昆明,A0AH,嵩明,AH09,杨林镇东北网格
25.171794,102.746182,0.3824,0.6176,0871,昆明,A0AX,盘龙,AX01,茨坝网格
25.06405,102.84565,0.5733,0.4267,0871,昆明,A0AM,官渡,AM38,大板桥网格
24.962426,102.634051,0.5375,0.4625,0871,昆明,A0AN,西山,AN12,采莲网格
24.762257,102.709966,0.5374,0.4626,0871,昆明,A0AD,晋宁,530122108000,新街乡
25.319192,103.018741,0.5742,0.4258,0871,昆明,A0AH,嵩明,530127107000,杨桥乡镇
25.134229,102.638605,0.5,0.5,0871,昆明,A0AW,五华,AW30,西翥网格
24.848538,102.797527,0.5238,0.4762,0871,昆明,A0AE,呈贡,AE14,大渔网格
24.776794,102.790208,0.5065,0.4935,0871,昆明,A0AE,呈贡,AE17,高新网格
25.093183,102.621915,0.5459,0.4541,0871,昆明,A0AW,五华,AW23,龙院网格
24.720938,102.764874,0.5709,0.4291,0871,昆明,A0AD,晋宁,530122102000,晋城镇
24.952898,102.556021,0.5366,0.4634,0871,昆明,A0AG,安宁,530181008000,太平网格
24.962714,102.496678,0.6154,0.3846,0871,昆明,A0AG,安宁,AG02,小百文网格
25.289306,103.125503,0.5038,0.4962,0871,昆明,A0AH,嵩明,530127104000,牛栏江镇
25.171075,102.73029,0.5456,0.4544,0871,昆明,A0AW,五华,AW33,幸福北仓网格
25.231575,103.029796,0.5447,0.4553,0871,昆明,A0AH,嵩明,AH08,杨林龙保网格
25.1217,102.811498,0.5963,0.4037,0871,昆明,A0AX,盘龙,AX08,金辰2网格
24.750332,102.742284,0.5168,0.4832,0871,昆明,A0AD,晋宁,530122102000,晋城镇
25.04377,102.905682,0.4389,0.5611,0871,昆明,A0AM,官渡,AM38,大板桥网格
24.68959,102.763073,0.4842,0.5158,0871,昆明,A0AD,晋宁,530122102000,晋城镇
25.064936,102.811157,0.6,0.4,0871,昆明,A0AW,五华,AW10,茭菱网格
25.267723,103.09702,0.3636,0.6364,0871,昆明,A0AH,嵩明,530127104000,牛栏江镇
24.881334,102.481944,0.4878,0.5122,0871,昆明,A0AG,安宁,AG07,昆钢1网格
25.144648,102.856852,0.5267,0.4733,0871,昆明,A0AX,盘龙,AX23,双龙网格
24.960089,102.39211,0.4783,0.5217,0871,昆明,A0AG,安宁,530181007000,草铺网格
24.94629,102.62647,0.5191,0.4809,0871,昆明,A0AN,西山,AN12,采莲网格
24.914211,102.878434,0.6216,0.3784,0871,昆明,A0AE,呈贡,AE14,大渔网格
24.73823,102.809825,0.4032,0.5968,0871,昆明,A0AD,晋宁,530122102000,晋城镇
25.01625,102.606316,0.4583,0.5417,0871,昆明,A0AN,西山,AN12,采莲网格
25.195969,103.032117,0.4722,0.5278,0871,昆明,A0AH,嵩明,AH09,杨林镇东北网格
25.360036,103.102063,0.7733,0.2267,0871,昆明,A0AH,嵩明,530127102000,小街镇
25.108628,102.989195,0.6083,0.3917,0871,昆明,A0AM,官渡,AM36,空港网格1
25.310897,102.970378,0.371,0.629,0871,昆明,A0AH,嵩明,530127107000,杨桥乡镇
24.95332,102.45785,0.4792,0.5208,0871,昆明,A0AG,安宁,530181004000,温泉网格
24.972797,102.866569,0.5246,0.4754,0871,昆明,A0AE,呈贡,AE21,大冲网格
24.63458,102.772319,0.4902,0.5098,0871,昆明,A0AD,晋宁,530122102000,晋城镇
25.33904,102.994931,0.5058,0.4942,0871,昆明,A0AH,嵩明,530127107000,杨桥乡镇
24.785072,102.840413,0.4695,0.5305,0871,昆明,A0AE,呈贡,AE17,高新网格
24.866597,102.599158,0.5364,0.4636,0871,昆明,A0AG,安宁,530181008000,太平网格
25.306652,103.079325,0.5394,0.4606,0871,昆明,A0AH,嵩明,530127102000,小街镇
24.905229,102.417631,0.7111,0.2889,0871,昆明,A0AG,安宁,530181007000,草铺网格
24.839809,102.879569,0.5357,0.4643,0871,昆明,A0AE,呈贡,AE08,万溪冲网格
24.985788,102.449787,0.4602,0.5398,0871,昆明,A0AG,安宁,530181004000,温泉网格
24.638622,102.756031,0.6291,0.3709,0871,昆明,A0AD,晋宁,530122102000,晋城镇
25.038176,102.85113,0.3455,0.6545,0871,昆明,A0AM,官渡,AM32,广卫网格
25.15866,102.776656,0.3286,0.6714,0871,昆明,A0AW,五华,AW36,红锦网格
24.694601,102.728947,0.5829,0.4171,0871,昆明,A0AD,晋宁,530122102000,晋城镇
24.945895,102.846854,0.6643,0.3357,0871,昆明,A0AE,呈贡,AE19,新册网格
24.701785,102.767889,0.5568,0.4432,0871,昆明,A0AD,晋宁,530122102000,晋城镇
25.141729,102.879522,0.5556,0.4444,0871,昆明,A0AX,盘龙,AX23,双龙网格
24.895422,102.650214,0.4308,0.5692,0871,昆明,A0AN,西山,AN10,广福网格
25.024713,102.87868,0.4606,0.5394,0871,昆明,A0AM,官渡,AM38,大板桥网格
24.961354,102.537739,0.5538,0.4462,0871,昆明,A0AG,安宁,530181008000,太平网格
24.808785,102.651486,0.5645,0.4355,0871,昆明,A0AN,西山,AN34,西仪网格
25.045389,102.85919,0.6402,0.3598,0871,昆明,A0AM,官渡,AM38,大板桥网格
